country_code,country_name,year,percentile_group,wealth_share
AR,Argentina,2019,bottom_10pct,-0.0143
AR,Argentina,2019,bottom_50pct,0.0393
AR,Argentina,2019,top_10pct,0.6021000000000001
AR,Argentina,2019,top_1pct,0.2571
AR,Argentina,2019,top_50pct,0.9607
AR,Argentina,2020,bottom_10pct,-0.0143
AR,Argentina,2020,bottom_50pct,0.0394
AR,Argentina,2020,top_10pct,0.6017
AR,Argentina,2020,top_1pct,0.2567
AR,Argentina,2020,top_50pct,0.9606
AR,Argentina,2021,bottom_10pct,-0.0146
AR,Argentina,2021,bottom_50pct,0.04
AR,Argentina,2021,top_10pct,0.5943
AR,Argentina,2021,top_1pct,0.2485
AR,Argentina,2021,top_50pct,0.96
AR,Argentina,2022,bottom_10pct,-0.0147
AR,Argentina,2022,bottom_50pct,0.0401
AR,Argentina,2022,top_10pct,0.5931000000000001
AR,Argentina,2022,top_1pct,0.2472
AR,Argentina,2022,top_50pct,0.9599
AR,Argentina,2023,bottom_10pct,-0.0147
AR,Argentina,2023,bottom_50pct,0.0401
AR,Argentina,2023,top_10pct,0.5933
AR,Argentina,2023,top_1pct,0.2475
AR,Argentina,2023,top_50pct,0.9599
AU,Australia,1995,bottom_10pct,-0.0158
AU,Australia,1995,bottom_50pct,0.041
AU,Australia,1995,top_10pct,0.5748
AU,Australia,1995,top_1pct,0.228
AU,Australia,1995,top_50pct,0.959
AU,Australia,1996,bottom_10pct,-0.0158
AU,Australia,1996,bottom_50pct,0.041
AU,Australia,1996,top_10pct,0.5749000000000001
AU,Australia,1996,top_1pct,0.228
AU,Australia,1996,top_50pct,0.959
AU,Australia,1997,bottom_10pct,-0.0159
AU,Australia,1997,bottom_50pct,0.041
AU,Australia,1997,top_10pct,0.5747
AU,Australia,1997,top_1pct,0.2278
AU,Australia,1997,top_50pct,0.959
AU,Australia,1998,bottom_10pct,-0.0158
AU,Australia,1998,bottom_50pct,0.0409
AU,Australia,1998,top_10pct,0.5749000000000001
AU,Australia,1998,top_1pct,0.2281
AU,Australia,1998,top_50pct,0.9591
AU,Australia,1999,bottom_10pct,-0.0158
AU,Australia,1999,bottom_50pct,0.0409
AU,Australia,1999,top_10pct,0.5749000000000001
AU,Australia,1999,top_1pct,0.2281
AU,Australia,1999,top_50pct,0.9591
AU,Australia,2000,bottom_10pct,-0.0158
AU,Australia,2000,bottom_50pct,0.0409
AU,Australia,2000,top_10pct,0.5753
AU,Australia,2000,top_1pct,0.2285
AU,Australia,2000,top_50pct,0.9591
AU,Australia,2001,bottom_10pct,-0.0158
AU,Australia,2001,bottom_50pct,0.0409
AU,Australia,2001,top_10pct,0.5752
AU,Australia,2001,top_1pct,0.2283
AU,Australia,2001,top_50pct,0.9591
AU,Australia,2002,bottom_10pct,-0.0158
AU,Australia,2002,bottom_50pct,0.0409
AU,Australia,2002,top_10pct,0.5759000000000001
AU,Australia,2002,top_1pct,0.2291
AU,Australia,2002,top_50pct,0.9591
AU,Australia,2003,bottom_10pct,-0.0158
AU,Australia,2003,bottom_50pct,0.0409
AU,Australia,2003,top_10pct,0.5758
AU,Australia,2003,top_1pct,0.229
AU,Australia,2003,top_50pct,0.9591
AU,Australia,2004,bottom_10pct,-0.0157
AU,Australia,2004,bottom_50pct,0.0409
AU,Australia,2004,top_10pct,0.5766
AU,Australia,2004,top_1pct,0.2298
AU,Australia,2004,top_50pct,0.9591
AU,Australia,2005,bottom_10pct,-0.0157
AU,Australia,2005,bottom_50pct,0.0409
AU,Australia,2005,top_10pct,0.5771000000000001
AU,Australia,2005,top_1pct,0.2303
AU,Australia,2005,top_50pct,0.9591
AU,Australia,2006,bottom_10pct,-0.0156
AU,Australia,2006,bottom_50pct,0.0409
AU,Australia,2006,top_10pct,0.5773
AU,Australia,2006,top_1pct,0.2305
AU,Australia,2006,top_50pct,0.9591
AU,Australia,2007,bottom_10pct,-0.0156
AU,Australia,2007,bottom_50pct,0.0409
AU,Australia,2007,top_10pct,0.5777
AU,Australia,2007,top_1pct,0.2309
AU,Australia,2007,top_50pct,0.9591
AU,Australia,2008,bottom_10pct,-0.0156
AU,Australia,2008,bottom_50pct,0.0409
AU,Australia,2008,top_10pct,0.5780000000000001
AU,Australia,2008,top_1pct,0.2313
AU,Australia,2008,top_50pct,0.9591
AU,Australia,2009,bottom_10pct,-0.0155
AU,Australia,2009,bottom_50pct,0.0409
AU,Australia,2009,top_10pct,0.5797
AU,Australia,2009,top_1pct,0.233
AU,Australia,2009,top_50pct,0.9591
AU,Australia,2010,bottom_10pct,-0.0155
AU,Australia,2010,bottom_50pct,0.0409
AU,Australia,2010,top_10pct,0.5789000000000001
AU,Australia,2010,top_1pct,0.2322
AU,Australia,2010,top_50pct,0.9591
AU,Australia,2011,bottom_10pct,-0.0155
AU,Australia,2011,bottom_50pct,0.0409
AU,Australia,2011,top_10pct,0.5798
AU,Australia,2011,top_1pct,0.233
AU,Australia,2011,top_50pct,0.9591
AU,Australia,2012,bottom_10pct,-0.0155
AU,Australia,2012,bottom_50pct,0.0408
AU,Australia,2012,top_10pct,0.5802
AU,Australia,2012,top_1pct,0.2339
AU,Australia,2012,top_50pct,0.9592
AU,Australia,2013,bottom_10pct,-0.0155
AU,Australia,2013,bottom_50pct,0.0407
AU,Australia,2013,top_10pct,0.5803
AU,Australia,2013,top_1pct,0.2347
AU,Australia,2013,top_50pct,0.9593
AU,Australia,2014,bottom_10pct,-0.0154
AU,Australia,2014,bottom_50pct,0.0407
AU,Australia,2014,top_10pct,0.5811000000000001
AU,Australia,2014,top_1pct,0.2361
AU,Australia,2014,top_50pct,0.9593
AU,Australia,2015,bottom_10pct,-0.0155
AU,Australia,2015,bottom_50pct,0.0408
AU,Australia,2015,top_10pct,0.5794
AU,Australia,2015,top_1pct,0.2335
AU,Australia,2015,top_50pct,0.9592
AU,Australia,2016,bottom_10pct,-0.0156
AU,Australia,2016,bottom_50pct,0.0409
AU,Australia,2016,top_10pct,0.5776
AU,Australia,2016,top_1pct,0.2311
AU,Australia,2016,top_50pct,0.9591
AU,Australia,2017,bottom_10pct,-0.0155
AU,Australia,2017,bottom_50pct,0.0408
AU,Australia,2017,top_10pct,0.5796
AU,Australia,2017,top_1pct,0.2341
AU,Australia,2017,top_50pct,0.9592
AU,Australia,2018,bottom_10pct,-0.0155
AU,Australia,2018,bottom_50pct,0.0406
AU,Australia,2018,top_10pct,0.5806
AU,Australia,2018,top_1pct,0.2367
AU,Australia,2018,top_50pct,0.9594
AU,Australia,2019,bottom_10pct,-0.0156
AU,Australia,2019,bottom_50pct,0.0406
AU,Australia,2019,top_10pct,0.5800000000000001
AU,Australia,2019,top_1pct,0.2363
AU,Australia,2019,top_50pct,0.9594
AU,Australia,2020,bottom_10pct,-0.0156
AU,Australia,2020,bottom_50pct,0.0407
AU,Australia,2020,top_10pct,0.5785
AU,Australia,2020,top_1pct,0.2335
AU,Australia,2020,top_50pct,0.9593
AU,Australia,2021,bottom_10pct,-0.0155
AU,Australia,2021,bottom_50pct,0.0404
AU,Australia,2021,top_10pct,0.5813
AU,Australia,2021,top_1pct,0.2386
AU,Australia,2021,top_50pct,0.9596
AU,Australia,2022,bottom_10pct,-0.0155
AU,Australia,2022,bottom_50pct,0.0404
AU,Australia,2022,top_10pct,0.5819
AU,Australia,2022,top_1pct,0.2397
AU,Australia,2022,top_50pct,0.9596
AU,Australia,2023,bottom_10pct,-0.0156
AU,Australia,2023,bottom_50pct,0.0405
AU,Australia,2023,top_10pct,0.5810000000000001
AU,Australia,2023,top_1pct,0.238
AU,Australia,2023,top_50pct,0.9595
BR,Brazil,1995,bottom_10pct,-0.017
BR,Brazil,1995,bottom_50pct,0.0243
BR,Brazil,1995,top_10pct,0.6941
BR,Brazil,1995,top_1pct,0.3636
BR,Brazil,1995,top_50pct,0.9757
BR,Brazil,1996,bottom_10pct,-0.017
BR,Brazil,1996,bottom_50pct,0.0243
BR,Brazil,1996,top_10pct,0.6941
BR,Brazil,1996,top_1pct,0.3636
BR,Brazil,1996,top_50pct,0.9757
BR,Brazil,1997,bottom_10pct,-0.017
BR,Brazil,1997,bottom_50pct,0.0243
BR,Brazil,1997,top_10pct,0.6941
BR,Brazil,1997,top_1pct,0.3637
BR,Brazil,1997,top_50pct,0.9757
BR,Brazil,1998,bottom_10pct,-0.017
BR,Brazil,1998,bottom_50pct,0.0243
BR,Brazil,1998,top_10pct,0.6940000000000001
BR,Brazil,1998,top_1pct,0.3635
BR,Brazil,1998,top_50pct,0.9757
BR,Brazil,1999,bottom_10pct,-0.017
BR,Brazil,1999,bottom_50pct,0.0243
BR,Brazil,1999,top_10pct,0.6941
BR,Brazil,1999,top_1pct,0.3636
BR,Brazil,1999,top_50pct,0.9757
BR,Brazil,2000,bottom_10pct,-0.017
BR,Brazil,2000,bottom_50pct,0.0243
BR,Brazil,2000,top_10pct,0.6942
BR,Brazil,2000,top_1pct,0.3637
BR,Brazil,2000,top_50pct,0.9757
BR,Brazil,2001,bottom_10pct,-0.017
BR,Brazil,2001,bottom_50pct,0.0243
BR,Brazil,2001,top_10pct,0.6942
BR,Brazil,2001,top_1pct,0.3637
BR,Brazil,2001,top_50pct,0.9757
BR,Brazil,2002,bottom_10pct,-0.0173
BR,Brazil,2002,bottom_50pct,0.0233
BR,Brazil,2002,top_10pct,0.6989000000000001
BR,Brazil,2002,top_1pct,0.3693
BR,Brazil,2002,top_50pct,0.9767
BR,Brazil,2003,bottom_10pct,-0.0171
BR,Brazil,2003,bottom_50pct,0.0238
BR,Brazil,2003,top_10pct,0.6962
BR,Brazil,2003,top_1pct,0.3661
BR,Brazil,2003,top_50pct,0.9762
BR,Brazil,2004,bottom_10pct,-0.0168
BR,Brazil,2004,bottom_50pct,0.0249
BR,Brazil,2004,top_10pct,0.6912
BR,Brazil,2004,top_1pct,0.3602
BR,Brazil,2004,top_50pct,0.9751
BR,Brazil,2005,bottom_10pct,-0.0176
BR,Brazil,2005,bottom_50pct,0.0226
BR,Brazil,2005,top_10pct,0.7021000000000001
BR,Brazil,2005,top_1pct,0.3729
BR,Brazil,2005,top_50pct,0.9774
BR,Brazil,2006,bottom_10pct,-0.0176
BR,Brazil,2006,bottom_50pct,0.0226
BR,Brazil,2006,top_10pct,0.7020000000000001
BR,Brazil,2006,top_1pct,0.3728
BR,Brazil,2006,top_50pct,0.9774
BR,Brazil,2007,bottom_10pct,-0.017
BR,Brazil,2007,bottom_50pct,0.0242
BR,Brazil,2007,top_10pct,0.6944
BR,Brazil,2007,top_1pct,0.3639
BR,Brazil,2007,top_50pct,0.9758
BR,Brazil,2008,bottom_10pct,-0.0171
BR,Brazil,2008,bottom_50pct,0.0238
BR,Brazil,2008,top_10pct,0.6965
BR,Brazil,2008,top_1pct,0.3664
BR,Brazil,2008,top_50pct,0.9762
BR,Brazil,2009,bottom_10pct,-0.017
BR,Brazil,2009,bottom_50pct,0.0242
BR,Brazil,2009,top_10pct,0.6948000000000001
BR,Brazil,2009,top_1pct,0.3644
BR,Brazil,2009,top_50pct,0.9758
BR,Brazil,2010,bottom_10pct,-0.0173
BR,Brazil,2010,bottom_50pct,0.0234
BR,Brazil,2010,top_10pct,0.6982
BR,Brazil,2010,top_1pct,0.3684
BR,Brazil,2010,top_50pct,0.9766
BR,Brazil,2011,bottom_10pct,-0.0176
BR,Brazil,2011,bottom_50pct,0.0226
BR,Brazil,2011,top_10pct,0.7021000000000001
BR,Brazil,2011,top_1pct,0.3729
BR,Brazil,2011,top_50pct,0.9774
BR,Brazil,2012,bottom_10pct,-0.0172
BR,Brazil,2012,bottom_50pct,0.0235
BR,Brazil,2012,top_10pct,0.6977
BR,Brazil,2012,top_1pct,0.3678
BR,Brazil,2012,top_50pct,0.9765
BR,Brazil,2013,bottom_10pct,-0.0169
BR,Brazil,2013,bottom_50pct,0.0244
BR,Brazil,2013,top_10pct,0.6935
BR,Brazil,2013,top_1pct,0.3629
BR,Brazil,2013,top_50pct,0.9756
BR,Brazil,2014,bottom_10pct,-0.017
BR,Brazil,2014,bottom_50pct,0.0242
BR,Brazil,2014,top_10pct,0.6947
BR,Brazil,2014,top_1pct,0.3643
BR,Brazil,2014,top_50pct,0.9758
BR,Brazil,2015,bottom_10pct,-0.0175
BR,Brazil,2015,bottom_50pct,0.0229
BR,Brazil,2015,top_10pct,0.7006
BR,Brazil,2015,top_1pct,0.3712
BR,Brazil,2015,top_50pct,0.9771
BR,Brazil,2016,bottom_10pct,-0.0171
BR,Brazil,2016,bottom_50pct,0.0239
BR,Brazil,2016,top_10pct,0.6959000000000001
BR,Brazil,2016,top_1pct,0.3657
BR,Brazil,2016,top_50pct,0.9761
BR,Brazil,2017,bottom_10pct,-0.0169
BR,Brazil,2017,bottom_50pct,0.0244
BR,Brazil,2017,top_10pct,0.6936
BR,Brazil,2017,top_1pct,0.363
BR,Brazil,2017,top_50pct,0.9756
BR,Brazil,2018,bottom_10pct,-0.0168
BR,Brazil,2018,bottom_50pct,0.0247
BR,Brazil,2018,top_10pct,0.6920000000000001
BR,Brazil,2018,top_1pct,0.3612
BR,Brazil,2018,top_50pct,0.9753
BR,Brazil,2019,bottom_10pct,-0.0164
BR,Brazil,2019,bottom_50pct,0.0258
BR,Brazil,2019,top_10pct,0.6877
BR,Brazil,2019,top_1pct,0.3571
BR,Brazil,2019,top_50pct,0.9742
BR,Brazil,2020,bottom_10pct,-0.0174
BR,Brazil,2020,bottom_50pct,0.0231
BR,Brazil,2020,top_10pct,0.6996
BR,Brazil,2020,top_1pct,0.37
BR,Brazil,2020,top_50pct,0.9769
BR,Brazil,2021,bottom_10pct,-0.0169
BR,Brazil,2021,bottom_50pct,0.0232
BR,Brazil,2021,top_10pct,0.7027
BR,Brazil,2021,top_1pct,0.3787
BR,Brazil,2021,top_50pct,0.9768
BR,Brazil,2022,bottom_10pct,-0.0171
BR,Brazil,2022,bottom_50pct,0.0236
BR,Brazil,2022,top_10pct,0.6987
BR,Brazil,2022,top_1pct,0.3706
BR,Brazil,2022,top_50pct,0.9764
BR,Brazil,2023,bottom_10pct,-0.0172
BR,Brazil,2023,bottom_50pct,0.0237
