country_code,country_name,year,mean_ppp_income,median_ppp_income,mmr
CN,China,2018,29695.95227920228,19796.215811965812,1.5000822662911453
CN,China,2019,31203.118660968667,20863.095868945868,1.4956130603518738
CN,China,2020,31159.70313390314,20528.37863247863,1.5178842757997622
CN,China,2021,33724.054843304846,22159.35398860399,1.5218879964031575
CN,China,2022,34229.48361823362,22224.87962962963,1.5401425874360986
CN,China,2023,35756.882478632484,23216.577635327638,1.5401444192283889
DE,Germany,1995,65779.2425,55277.14624999999,1.1899898414166055
DE,Germany,1996,66224.4375,54184.165625,1.2222101556076144
DE,Germany,1997,67103.226875,53100.26375,1.2637079768742203
DE,Germany,1998,68455.28812499999,53640.95375,1.2761758197671866
DE,Germany,1999,69988.588125,55795.13937499999,1.2543850397900365
DE,Germany,2000,71731.87625,56456.206874999996,1.2705755526371432
DE,Germany,2001,72520.04625000001,56622.4825,1.2807641602432394
DE,Germany,2002,71555.17687499999,55908.2875,1.2798670836591086
DE,Germany,2003,70892.76437499998,56181.490625,1.2618526775694638
DE,Germany,2004,72657.23624999999,56493.53062499999,1.2861160463185337
DE,Germany,2005,73168.504375,54909.120624999996,1.3325382658138318
DE,Germany,2006,76718.96812500001,56852.981875,1.349427340393129
DE,Germany,2007,78494.8725,56853.31812499999,1.380655959735156
DE,Germany,2008,78803.55,56748.744375,1.3886395349870682
DE,Germany,2009,74330.07999999999,53923.73999999999,1.378429611892647
DE,Germany,2010,77273.6125,57005.975625,1.3555353040236648
DE,Germany,2011,80847.781875,59022.466875,1.3697797831158511
DE,Germany,2012,80303.729375,58513.72062499999,1.372391441139879
DE,Germany,2013,80309.109375,57509.84624999999,1.3964410376944802
DE,Germany,2014,81330.46875,57800.02999999999,1.4071008051379905
DE,Germany,2015,82191.10062499999,58802.223125,1.3977549870908899
DE,Germany,2016,83733.479375,59935.55375,1.3970585760209147
DE,Germany,2017,85549.229375,61785.9375,1.3846068027210883
DE,Germany,2018,86465.34249999998,63221.556875,1.3676560144027612
DE,Germany,2019,87031.5875,63289.98374999999,1.3751241877985156
DE,Germany,2020,82300.38187499999,59869.985,1.3746517871183697
DE,Germany,2021,85577.138125,62253.66124999999,1.3746522920368802
DE,Germany,2022,86647.08562499999,63032.07999999999,1.3746505846705361
DE,Germany,2023,86102.360625,62635.809375,1.3746507227120828
FR,France,1995,58263.054069767444,46693.08255813953,1.2477876995424675
FR,France,1996,59046.28197674419,47006.02965116279,1.2561427207303726
FR,France,1997,60996.21918604652,48292.53779069767,1.263056819469858
FR,France,1998,63022.008139534904,49249.99011627907,1.2796349398393816
FR,France,1999,65127.402325581395,50882.44476744186,1.2799581982203507
FR,France,2000,66792.70000000001,51561.826162790705,1.2953905043844351
FR,France,2001,67668.04476744187,52297.19709302325,1.2939134127413718
FR,France,2002,67420.62732558142,52267.79476744186,1.2899076309907456
FR,France,2003,67564.98023255814,52254.97034883721,1.2929866724928993
FR,France,2004,68932.03197674418,52977.67325581395,1.3011524995424246
FR,France,2005,69738.71918604651,53659.40058139535,1.2996552035697944
FR,France,2006,70956.41337209303,54754.79360465117,1.2958940889161823
FR,France,2007,71988.62267441861,54790.60813953488,1.3138861771909094
FR,France,2008,71108.27325581395,53880.387209302324,1.3197431744428383
FR,France,2009,68376.35930232558,53712.887790697685,1.2729972659218558
FR,France,2010,69687.42151162791,54346.60174418605,1.282277442840904
FR,France,2011,70329.42441860466,54814.69302325582,1.2830396475770924
FR,France,2012,69717.13662790698,55364.10988372093,1.2592478552320474
FR,France,2013,69895.4273255814,55980.77674418605,1.248561227454574
FR,France,2014,69926.23720930233,56027.69534883721,1.2480655642522973
FR,France,2015,70471.58779069767,55346.28081395348,1.273284975147434
FR,France,2016,70853.81802325582,55453.72441860465,1.2777107176499125
FR,France,2017,72221.33895348836,56581.804069767444,1.2764057304436034
FR,France,2018,72812.98255813954,56881.301162790696,1.2800864443967865
FR,France,2019,73265.90348837212,57682.514534883725,1.27015793397953
FR,France,2020,66832.73720930233,53047.112790697676,1.2598751127699845
FR,France,2021,71841.4546511628,56614.49069767442,1.2689587730251164
FR,France,2022,73332.52790697674,58323.73546511628,1.2573359254541796
FR,France,2023,73407.1284883721,58383.00930232559,1.257337183635857
GB,United Kingdom,1995,64565.457971014504,46865.64782608696,1.3776713001089733
GB,United Kingdom,1996,66018.44782608697,47213.7884057971,1.3982874506630556
GB,United Kingdom,1997,69459.30869565219,50221.13043478261,1.3830693991616212
GB,United Kingdom,1998,72575.81014492753,51580.16521739131,1.407048811089444
GB,United Kingdom,1999,73877.1463768116,51517.98333333334,1.4340069544028784
GB,United Kingdom,2000,77033.02318840582,55934.8463768116,1.3771920042376429
GB,United Kingdom,2001,78532.99057971015,55162.54347826087,1.4236651471783457
GB,United Kingdom,2002,79833.15724637682,56488.83043478262,1.4132556229597575
GB,United Kingdom,2003,81166.07173913046,56083.57608695653,1.4472342422188629
GB,United Kingdom,2004,82021.99855072465,57181.99275362319,1.4344025907618887
GB,United Kingdom,2005,83954.31521739131,57434.22898550726,1.4617470574659588
GB,United Kingdom,2006,83703.83333333333,58110.23768115942,1.4404317840274794
GB,United Kingdom,2007,85319.00289855075,58803.205072463774,1.450924363619488
GB,United Kingdom,2008,84098.95144927535,60094.21014492754,1.3994518148496542
GB,United Kingdom,2009,78734.74057971015,54116.95217391305,1.454899757227349
GB,United Kingdom,2010,81170.1652173913,61047.79565217392,1.329616644634749
GB,United Kingdom,2011,80945.99855072465,60322.27536231885,1.3418923285723519
GB,United Kingdom,2012,79977.40362318842,57826.03333333333,1.3830691647508548
GB,United Kingdom,2013,80916.95434782609,56535.2231884058,1.4312662051084017
GB,United Kingdom,2014,82137.9804347826,60416.42536231884,1.3595306233726845
GB,United Kingdom,2015,84139.69130434786,63022.60652173914,1.3350715869760885
GB,United Kingdom,2016,84615.50942028986,63578.15,1.330889769839007
GB,United Kingdom,2017,86655.23115942032,64741.08768115942,1.3384889606147015
GB,United Kingdom,2018,87576.26376811597,65893.30434782608,1.3290616495089345
GB,United Kingdom,2019,88666.29855072463,66875.15434782609,1.3258481332179073
GB,United Kingdom,2020,76986.04565217391,57358.20724637681,1.3421975572124762
GB,United Kingdom,2021,86168.30217391306,64199.189130434796,1.3422023446253064
GB,United Kingdom,2022,90130.00942028985,67150.9768115942,1.3421995285812152
GB,United Kingdom,2023,89367.06304347828,66582.56811594203,1.3421991006393894
ID,Indonesia,1995,16968.687142857143,8973.721714285713,1.8909308404163956
ID,Indonesia,1996,17826.512857142858,9318.639607142855,1.9129952019475687
ID,Indonesia,1997,18107.101428571426,10568.1985,1.7133574306511583
ID,Indonesia,1998,14370.990000000002,9341.654285714285,1.5383774180100867
ID,Indonesia,1999,14452.312857142857,9547.845285714286,1.5136727109274333
ID,Indonesia,2000,15071.195714285714,9886.15157142857,1.5244754852679132
ID,Indonesia,2001,15415.741428571428,9933.354857142856,1.5519169153094645
ID,Indonesia,2002,15866.331428571428,10193.0965,1.5565762012133828
ID,Indonesia,2003,16353.427142857143,10481.156142857142,1.5602693939448584
ID,Indonesia,2004,16470.77142857143,10211.663857142858,1.6129370941886663
ID,Indonesia,2005,17051.058571428573,10321.303035714285,1.6520257677182477
ID,Indonesia,2006,17759.91857142857,10954.180357142857,1.6212914150028503
ID,Indonesia,2007,18599.02571428571,11123.857535714287,1.6719942389204132
ID,Indonesia,2008,19632.78714285714,10598.234107142856,1.8524583382834785
ID,Indonesia,2009,20052.05857142857,10485.162571428571,1.912422285761139
ID,Indonesia,2010,20860.792857142857,12180.257535714285,1.7126725601635253
ID,Indonesia,2011,21808.79857142857,12173.77525,1.7914573025675475
ID,Indonesia,2012,22652.312857142857,12899.821928571428,1.7560174847817807
ID,Indonesia,2013,23604.52857142857,13706.677642857141,1.722118896093644
ID,Indonesia,2014,24173.894285714287,14159.498928571427,1.7072563377885877
ID,Indonesia,2015,25089.282857142858,14319.586785714286,1.7520954502802268
ID,Indonesia,2016,26598.942857142858,15822.46603571429,1.6810870566638618
ID,Indonesia,2017,27031.714285714286,16270.670642857142,1.661376772910173
ID,Indonesia,2018,27818.62,14441.165678571433,1.9263417247043113
ID,Indonesia,2019,28393.859999999997,14739.783428571427,1.9263417361317308
ID,Indonesia,2020,27963.802857142855,14516.53275,1.926341733162339
ID,Indonesia,2021,28514.748571428572,14802.538964285715,1.9263417336868012
ID,Indonesia,2022,29600.134285714284,15365.982964285713,1.9263417351504428
ID,Indonesia,2023,30403.254285714283,15782.897571428573,1.926341734660473
IN,India,1995,7374.3989136649525,4882.334619782733,1.5104247225875553
IN,India,1996,7726.767381360778,5147.504945683248,1.5010704142869309
IN,India,1997,7914.298370497428,5206.834133790738,1.5199828085815308
IN,India,1998,8137.280760434534,5312.073270440252,1.531846483691317
IN,India,1999,8613.944453973701,5601.398227558606,1.5378203984129382
IN,India,2000,8782.688507718696,5676.738221841052,1.5471364301999357
IN,India,2001,8933.906803887936,5654.836792452832,1.579869964737352
IN,India,2002,9052.34985706118,5607.1196683819335,1.614438498273294
IN,India,2003,9449.244053744998,5723.463321898228,1.6509661235342883
IN,India,2004,9962.920240137222,5896.659948542024,1.6895870420000394
IN,India,2005,10424.03453401944,6023.908176100628,1.7304437965000794
IN,India,2006,10955.328759291024,6177.948742138366,1.773295509004024
IN,India,2007,11517.767924528302,6330.582018296171,1.8193853094771566
IN,India,2008,11777.6782161235,6301.6056889651245,1.8689963792478548
IN,India,2009,12182.793138936535,6337.1955117209845,1.9224265870295152
IN,India,2010,12843.381160663239,6486.529731275015,1.9800080617434708
IN,India,2011,13376.974728416239,6478.239794168097,2.064908856948856
IN,India,2012,13710.210205831905,6515.083104631218,2.1043799419973728
IN,India,2013,14116.017238421959,6672.837993138938,2.1154443211323506
IN,India,2014,14667.128873642083,6799.163407661522,2.157196112850395
